Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
480	284	19.613	20.359	18.780	21.708	20.785	18.528	3950.564	302.132	63.961	308.566	63.051	0.963	0.904	0.816	0.891	0.928	0.979	0.021	0.986	0.741	2.6355357333737257E18	0.331	0.000	1208.528	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.156	0.865	1234.265	1.122	0.000	0.000
696	357	19.484	21.974	18.747	21.426	20.634	18.453	3873.002	298.164	69.033	322.041	64.605	0.887	0.909	0.827	0.894	0.786	0.926	0.074	0.936	0.742	2.63554007021691648E18	0.360	0.000	1192.658	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.143	0.875	1288.165	1.118	0.000	0.000
6	84	20.041	20.895	18.710	21.849	21.404	18.746	4214.395	315.438	65.645	323.216	64.660	0.959	0.917	0.841	0.876	0.920	0.976	0.024	0.985	0.772	2.63553566452002765E18	0.318	0.000	1261.753	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.168	0.856	1292.863	1.142	0.000	0.000
226	187	19.166	28.213	18.697	24.946	23.020	16.115	3686.474	288.513	88.633	359.825	69.553	0.679	0.768	0.590	0.700	0.462	0.802	0.198	0.785	0.619	5.10329666552135168E18	0.414	0.000	1154.051	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.334	0.749	1439.300	1.428	34.840	8.281
252	201	18.399	20.346	18.668	20.136	19.132	17.790	3261.334	265.881	63.920	283.813	61.012	0.904	0.914	0.835	0.930	0.818	0.937	0.063	0.955	0.707	3.77269078226995558E18	0.398	0.000	1063.525	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.079	0.927	1135.253	1.075	0.000	0.000
80	124	19.900	21.336	18.643	22.495	21.618	18.359	4126.456	311.035	67.030	323.950	65.210	0.933	0.885	0.783	0.849	0.870	0.960	0.040	0.973	0.742	3.80650737157638912E18	0.382	0.000	1244.139	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.207	0.829	1295.801	1.178	0.000	0.000
553	307	19.388	21.261	18.633	21.046	20.048	18.822	3815.950	295.229	66.793	310.122	63.610	0.912	0.921	0.849	0.939	0.832	0.952	0.048	0.952	0.753	2.65129833099577702E18	0.388	0.000	1180.917	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.129	0.885	1240.488	1.065	0.000	0.000
762	426	20.139	22.673	18.620	24.691	22.714	17.948	4276.619	318.536	71.230	339.660	67.494	0.888	0.816	0.665	0.790	0.789	0.938	0.062	0.948	0.693	2.65334342368223539E18	0.366	0.000	1274.142	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.326	0.754	1358.638	1.266	0.000	0.000
421	263	18.829	19.911	18.587	21.130	19.861	17.863	3495.352	278.453	62.553	288.286	61.359	0.946	0.891	0.794	0.899	0.894	0.966	0.034	0.981	0.709	3.80654641188984781E18	0.349	0.000	1113.811	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.137	0.880	1153.144	1.112	0.000	0.000
654	340	19.607	22.131	18.584	22.481	21.663	17.783	3946.679	301.934	69.528	322.643	64.939	0.886	0.872	0.761	0.821	0.785	0.936	0.064	0.934	0.723	3.64434155799647744E18	0.321	0.000	1207.736	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.210	0.827	1290.571	1.218	0.000	0.000
