Id	Img Id	Da	Dp	FWidth	FLength	ELength	EWidth	Volume	Area	Perimeter	CHull  Area	CHull Perimeter	Sphericity	Compactness	Roundness	Ellipse Ratio	Circularity	Solidity	Concavity	Convexity	Extent	hash	Transparency	Curvature	Surface Area	Filter0	Filter1	Filter2	Filter3	Filter4	Filter5	Filter6	L/W Ratio	W/L Aspect Ratio	CHull Surface Area	Ellipticity	Fiber Length	Fiber Width
 	 	µm	µm	µm	µm	µm	µm	µm³	µm²	µm	µm²	µm	 	 	 	 	 	 	 	 	 	 	 	 	µm²	 	 	 	 	 	 	 	 	 	µm²	 	µm	µm
168	444	28.322	35.760	28.266	30.978	29.312	27.496	11895.137	629.995	112.344	691.463	94.619	0.792	0.914	0.836	0.938	0.627	0.911	0.089	0.842	0.719	3.66207490443433062E18	0.389	0.000	2519.980	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.096	0.912	2765.854	1.066	38.059	16.553
44	162	26.299	34.406	26.941	30.201	29.102	23.866	9523.607	543.198	108.089	620.700	90.098	0.764	0.871	0.758	0.820	0.584	0.875	0.125	0.834	0.668	5.10125259490054861E18	0.361	0.000	2172.793	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.121	0.892	2482.801	1.219	38.330	14.171
153	402	27.195	29.549	26.442	30.130	28.482	25.998	10530.450	580.839	92.832	607.679	88.655	0.920	0.903	0.815	0.913	0.847	0.956	0.044	0.955	0.729	3.80650736296937779E18	0.292	0.000	2323.354	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.139	0.878	2430.717	1.096	0.000	0.000
85	217	24.562	26.835	24.157	26.264	25.783	23.457	7758.261	473.806	84.305	500.962	80.454	0.915	0.935	0.875	0.910	0.838	0.946	0.054	0.954	0.747	3.80425989142366566E18	0.317	0.000	1895.223	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.087	0.920	2003.849	1.099	0.000	0.000
170	449	22.820	27.975	23.444	26.091	23.172	22.698	6221.867	408.982	87.887	458.294	77.822	0.816	0.875	0.765	0.980	0.665	0.892	0.108	0.885	0.669	3.80397237758661683E18	0.409	0.000	1635.930	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.113	0.899	1833.178	1.021	27.020	15.137
89	233	23.221	25.000	22.934	25.427	23.935	22.554	6556.109	423.501	78.540	442.096	75.568	0.929	0.913	0.834	0.942	0.863	0.958	0.042	0.962	0.726	3.64634755792232806E18	0.315	0.000	1694.006	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.109	0.902	1768.383	1.061	0.000	0.000
128	334	24.157	27.086	22.788	26.628	25.948	22.590	7380.938	458.316	85.093	485.946	79.645	0.892	0.907	0.823	0.871	0.795	0.943	0.057	0.936	0.755	2.65136863196025958E18	0.354	0.000	1833.265	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.169	0.856	1943.784	1.149	0.000	0.000
161	423	26.246	29.590	22.190	32.831	32.724	21.218	9466.311	541.018	92.958	569.629	88.878	0.887	0.799	0.639	0.648	0.787	0.950	0.050	0.956	0.743	3.64409074157003059E18	0.308	0.000	2164.070	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.480	0.676	2278.514	1.542	0.000	0.000
33	144	21.931	23.752	21.121	24.082	22.954	20.973	5523.336	377.768	74.619	394.958	71.409	0.923	0.911	0.829	0.914	0.853	0.956	0.044	0.957	0.743	3.64631230575560602E18	0.320	0.000	1511.072	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.140	0.877	1579.830	1.094	0.000	0.000
106	275	21.014	23.203	20.807	23.390	21.946	20.197	4858.764	346.823	72.894	369.112	69.073	0.906	0.898	0.807	0.920	0.820	0.940	0.060	0.948	0.713	2.64000847770411776E18	0.348	0.000	1387.292	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.124	0.890	1476.447	1.087	0.000	0.000
164	429	20.757	24.523	20.649	23.876	21.433	20.266	4682.944	338.405	77.041	373.513	69.945	0.846	0.869	0.756	0.946	0.716	0.906	0.094	0.908	0.686	3.65982247770455142E18	0.391	0.000	1353.620	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.156	0.865	1494.051	1.058	0.000	0.000
62	190	20.748	22.312	20.593	22.978	21.629	19.958	4676.340	338.087	70.095	354.133	67.811	0.930	0.903	0.815	0.923	0.865	0.955	0.045	0.967	0.715	2.65555625097998285E18	0.351	0.000	1352.347	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.116	0.896	1416.531	1.084	0.000	0.000
80	212	20.361	24.256	19.791	24.275	21.720	19.185	4419.449	325.589	76.202	363.670	69.657	0.839	0.839	0.703	0.883	0.705	0.895	0.105	0.914	0.678	3.9506929359128448E18	0.371	0.000	1302.355	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.227	0.815	1454.682	1.132	20.582	15.819
135	359	19.608	22.808	19.070	22.060	20.564	18.753	3947.083	301.955	71.654	330.385	65.785	0.860	0.889	0.790	0.912	0.739	0.914	0.086	0.918	0.718	2.63553234880314522E18	0.369	0.000	1207.818	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.157	0.864	1321.539	1.097	0.000	0.000
122	302	19.134	20.338	19.048	20.507	19.581	18.701	3667.652	287.530	63.893	298.741	62.247	0.941	0.933	0.871	0.955	0.885	0.962	0.038	0.974	0.736	3.79049848120222464E18	0.336	0.000	1150.119	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.077	0.929	1194.963	1.047	0.000	0.000
104	268	18.894	20.307	18.934	20.315	19.341	18.508	3531.832	280.387	63.796	294.437	61.806	0.930	0.930	0.865	0.957	0.866	0.952	0.048	0.969	0.729	3.7884968213555072E18	0.332	0.000	1121.547	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.073	0.932	1177.749	1.045	0.000	0.000
97	259	17.878	21.077	18.553	20.573	19.130	16.819	2991.767	251.021	66.215	278.128	60.662	0.848	0.869	0.755	0.879	0.719	0.903	0.097	0.916	0.658	3.64607048205171814E18	0.402	0.000	1004.082	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.109	0.902	1112.511	1.137	0.000	0.000
134	359	18.711	20.638	18.386	20.888	19.540	17.971	3430.212	274.982	64.836	292.823	61.985	0.907	0.896	0.802	0.920	0.822	0.939	0.061	0.956	0.716	2.63525473165081344E18	0.394	0.000	1099.929	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.136	0.880	1171.293	1.087	0.000	0.000
133	358	18.111	20.045	17.497	20.774	19.013	17.299	3110.533	257.621	62.972	273.620	59.985	0.904	0.872	0.760	0.910	0.816	0.942	0.058	0.953	0.709	3.64409184215753062E18	0.364	0.000	1030.483	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.187	0.842	1094.480	1.099	0.000	0.000
143	382	17.088	19.457	17.227	19.240	17.419	16.871	2612.509	229.331	61.125	250.968	57.268	0.878	0.888	0.789	0.969	0.771	0.914	0.086	0.937	0.692	2.78222432856545229E18	0.396	0.000	917.324	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.117	0.895	1003.870	1.033	0.000	0.000
60	187	17.128	19.673	17.180	19.220	18.234	16.184	2630.963	230.410	61.804	249.292	56.924	0.871	0.891	0.794	0.888	0.758	0.924	0.076	0.921	0.698	3.66214582417643827E18	0.369	0.000	921.639	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.119	0.894	997.169	1.127	0.000	0.000
22	124	16.972	19.123	17.057	19.251	17.421	16.643	2559.729	226.232	60.075	246.440	56.894	0.888	0.882	0.777	0.955	0.788	0.918	0.082	0.947	0.689	2.65330823932538778E18	0.367	0.000	904.927	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.129	0.886	985.760	1.047	0.000	0.000
112	281	16.515	19.724	16.544	18.723	17.829	15.309	2358.701	214.226	61.964	240.844	56.117	0.837	0.882	0.778	0.859	0.701	0.889	0.111	0.906	0.692	3.77043843270249216E18	0.376	0.000	856.905	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.132	0.884	963.377	1.165	0.000	0.000
145	385	16.436	18.775	16.505	18.768	16.733	16.288	2324.767	212.167	58.984	230.851	54.875	0.875	0.876	0.767	0.973	0.766	0.919	0.081	0.930	0.685	3.66211063993459866E18	0.425	0.000	848.667	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.137	0.879	923.405	1.027	0.000	0.000
29	134	15.316	19.126	16.211	17.656	16.379	14.472	1881.288	184.244	60.086	214.653	53.255	0.801	0.867	0.753	0.884	0.641	0.858	0.142	0.886	0.644	2.6555249244301783E18	0.393	0.000	736.978	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.089	0.918	858.611	1.132	17.468	10.547
151	398	16.454	17.723	16.199	17.757	16.981	15.974	2332.343	212.627	55.678	224.778	54.079	0.928	0.927	0.859	0.941	0.862	0.946	0.054	0.971	0.739	3.81105057080458854E18	0.371	0.000	850.509	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.096	0.912	899.111	1.063	0.000	0.000
158	420	16.596	18.381	16.083	18.697	18.038	15.317	2393.444	216.325	57.746	231.246	54.898	0.903	0.888	0.788	0.849	0.815	0.935	0.065	0.951	0.719	3.77248409034341939E18	0.353	0.000	865.299	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.163	0.860	924.984	1.178	0.000	0.000
107	277	15.291	18.958	15.831	17.422	15.679	15.079	1872.156	183.648	59.558	207.023	51.966	0.807	0.878	0.770	0.962	0.651	0.887	0.113	0.873	0.666	2.76343030732415334E18	0.379	0.000	734.591	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.100	0.909	828.092	1.040	17.639	10.411
77	205	15.565	19.771	15.686	18.410	16.727	14.693	1974.521	190.282	62.112	221.438	54.047	0.787	0.845	0.715	0.878	0.620	0.859	0.141	0.870	0.659	2.76614061221081088E18	0.413	0.000	761.130	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.174	0.852	885.752	1.138	20.161	9.438
50	177	15.331	18.173	15.636	17.621	16.250	14.582	1886.867	184.609	57.091	203.718	52.627	0.844	0.870	0.757	0.897	0.712	0.906	0.094	0.922	0.670	3.78824619271880243E18	0.402	0.000	738.434	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.127	0.887	814.872	1.114	0.000	0.000
59	187	15.448	19.790	15.458	18.967	16.340	14.798	1930.183	187.423	62.171	217.733	53.850	0.781	0.814	0.663	0.906	0.609	0.861	0.139	0.866	0.639	3.77245274028238336E18	0.400	0.000	749.692	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.227	0.815	870.932	1.104	20.370	9.201
53	182	16.039	17.661	15.275	18.640	17.154	15.010	2160.416	202.045	55.485	214.089	53.251	0.908	0.860	0.740	0.875	0.825	0.944	0.056	0.960	0.710	3.79303567315402701E18	0.368	0.000	808.182	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.220	0.819	856.355	1.143	0.000	0.000
7	99	15.105	19.917	15.264	18.768	15.777	14.631	1804.540	179.199	62.571	211.329	52.745	0.758	0.805	0.648	0.927	0.575	0.848	0.152	0.843	0.626	3.64887814310929152E18	0.400	0.000	716.795	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.230	0.813	845.318	1.078	21.651	8.277
45	165	15.376	16.955	15.175	17.438	15.936	14.876	1903.333	185.681	53.266	199.230	51.021	0.907	0.882	0.777	0.933	0.822	0.932	0.068	0.958	0.702	2.6355401313214377E18	0.385	0.000	742.724	Accept	Reject	Reject	Reject	Reject	Reject	Reject	1.149	0.870	796.918	1.071	0.000	0.000
